,benchmark percentage,fund percentage,holding,sector,ticker
0,67,68.87,1,Cash & Equivalents,VMFXX
1,18.31,17.46,2,Government,VMFXX
2,9.39,13.17,3,Securitized,VMFXX
3,1.23,0,4,Corporate,VMFXX
4,0.78,0,5,Municipal,VMFXX
5,31.79,43.08,1,Corporate Bond,BAGIX
6,12.18,19.62,2,Agency MBS Pass-Through,BAGIX
7,22.13,17,3,U.S. Treasury,BAGIX
8,5.93,5.43,4,Asset-Backed,BAGIX
9,14.7,4.67,5,Commercial MBS,BAGIX
10,86.5,92.75,1,Corporate Bond,TAHFX
11,0.62,1.36,2,Convertible,TAHFX
12,0.47,0.51,3,Commercial MBS,TAHFX
13,0.64,0.5,4,Asset-Backed,TAHFX
14,0.63,0,5,Bank Loan,TAHFX
15,,28.42,1,Financial Services,DODGX
16,,20.2,2,Healthcare,DODGX
17,,19.28,3,Technology,DODGX
18,,8.11,4,Communication Services,DODGX
19,,7.74,5,Consumer Cyclical,DODGX
20,,19.15,1,Technology,SEECX
21,,18.26,2,Financial Services,SEECX
22,,13.25,3,Healthcare,SEECX
23,,11.95,4,Consumer Cyclical,SEECX
24,,10.72,5,Industrials,SEECX
25,,20.95,1,Technology,VIIIX
26,,16.16,2,Financial Services,VIIIX
27,,14.92,3,Healthcare,VIIIX
28,,10.76,4,Consumer Cyclical,VIIIX
29,,10.42,5,Industrials,VIIIX
30,,31.36,1,Technology,PLGIX
31,,19.11,2,Healthcare,PLGIX
32,,17.46,3,Consumer Cyclical,PLGIX
33,,10.81,4,Industrials,PLGIX
34,,10.3,5,Financial Services,PLGIX
35,,19.63,1,Financial Services,TOTFX
36,,15.8,2,Consumer Cyclical,TOTFX
37,,13.81,3,Technology,TOTFX
38,,13.62,4,Utilities,TOTFX
39,,10.87,5,Healthcare,TOTFX
40,,31.54,1,Technology,JDMNX
41,,21.32,2,Industrials,JDMNX
42,,19.33,3,Healthcare,JDMNX
43,,12.23,4,Consumer Cyclical,JDMNX
44,,8.41,5,Financial Services,JDMNX
45,,25.33,1,Financial Services,DFFVX
46,,20.12,2,Industrials,DFFVX
47,,15.71,3,Consumer Cyclical,DFFVX
48,,12.6,4,Technology,DFFVX
49,,8.62,5,Energy,DFFVX
50,,16.31,1,Technology,VSCPX
51,,15.67,2,Industrials,VSCPX
52,,13.29,3,Financial Services,VSCPX
53,,12.59,4,Consumer Cyclical,VSCPX
54,,12.51,5,Real Estate,VSCPX
55,,24.27,1,Technology,HISCX
56,,22.66,2,Healthcare,HISCX
57,,15.28,3,Industrials,HISCX
58,,13.42,4,Consumer Cyclical,HISCX
59,,7.82,5,Financial Services,HISCX
60,,21.37,1,Technology,RERGX
61,,18.93,2,Financial Services,RERGX
62,,11.66,3,Consumer Cyclical,RERGX
63,,10.67,4,Consumer Defensive,RERGX
64,,9.27,5,Industrials,RERGX
65,,23.34,1,Industrials,DFISX
66,,17.59,2,Consumer Cyclical,DFISX
67,,12.12,3,Basic Materials,DFISX
68,,11.58,4,Technology,DFISX
69,,11.23,5,Financial Services,DFISX
